,Year,Rank,Team,Pts,W,D,L,F,A
1490,1935,1,Betis,34,15,4,3,43,19
1491,1935,2,Real Madrid,33,16,1,5,61,34
1492,1935,3,Oviedo,26,12,2,8,60,47
1493,1935,4,Athletic Club,25,11,3,8,60,37
1494,1935,5,Sevilla,24,11,2,9,53,38
1495,1935,6,Barcelona,24,9,6,7,55,44
1496,1935,7,Atlético de Madrid,21,8,5,9,40,45
1497,1935,8,Espanyol,20,9,2,11,47,59
1498,1935,9,Valencia,20,9,2,11,40,49
1499,1935,10,Racing de Santander,17,7,3,12,37,46
1500,1935,11,Real Sociedad,11,5,1,16,28,67
1501,1935,12,Arenas de Guecho,9,3,3,16,17,56
1502,1934,1,Athletic Club,24,11,2,5,61,27
1503,1934,2,Real Madrid,22,10,2,6,41,29
1504,1934,3,Racing de Santander,19,9,1,8,38,39
1505,1934,4,Betis,19,9,1,8,29,36
1506,1934,5,Real Sociedad,18,7,4,7,29,33
1507,1934,6,Oviedo,18,8,2,8,51,45
1508,1934,7,Valencia,17,7,3,8,28,38
1509,1934,8,Espanyol,17,7,3,8,41,42
1510,1934,9,Barcelona,16,8,0,10,42,40
1511,1934,10,Arenas de Guecho,10,3,4,11,18,49
1512,1933,1,Real Madrid,28,13,2,3,49,17
1513,1933,2,Athletic Club,26,13,0,5,63,29
1514,1933,3,Espanyol,22,10,2,6,33,30
1515,1933,4,Barcelona,19,7,5,6,42,34
1516,1933,5,Betis,17,6,5,7,31,45
1517,1933,6,Real Sociedad,15,6,3,9,41,47
1518,1933,7,Arenas de Guecho,14,5,4,9,39,44
1519,1933,8,Racing de Santander,14,6,2,10,46,58
1520,1933,9,Valencia,13,4,5,9,34,53
1521,1933,10,Alavés,12,5,2,11,21,42
1522,1932,1,Real Madrid,28,10,8,0,37,15
1523,1932,2,Athletic Club,25,11,3,4,47,23
1524,1932,3,Barcelona,24,10,4,4,40,26
1525,1932,4,Racing de Santander,20,7,6,5,36,35
1526,1932,5,Arenas de Guecho,17,7,3,8,35,42
1527,1932,6,Espanyol,15,7,1,10,34,39
1528,1932,7,Valencia,15,6,3,9,38,47
1529,1932,8,Real Sociedad,14,7,0,11,38,35
1530,1932,9,Alavés,11,5,1,12,22,44
1531,1932,10,Real Unión,11,4,3,11,24,45
1532,1931,1,Athletic Club,22,11,0,7,73,33
1533,1931,2,Racing de Santander,22,10,2,6,49,37
1534,1931,3,Real Sociedad,22,10,2,6,42,39
1535,1931,4,Barcelona,21,7,7,4,40,43
1536,1931,5,Arenas de Guecho,18,8,2,8,35,38
1537,1931,6,Real Madrid,18,7,4,7,24,27
1538,1931,7,Real Unión,16,6,4,8,41,45
1539,1931,8,Alavés,14,5,4,9,25,39
1540,1931,9,Espanyol,14,6,2,10,32,45
1541,1931,10,Europa,13,6,1,11,23,38
1542,1930,1,Athletic Club,30,12,6,0,63,28
1543,1930,2,Barcelona,23,11,1,6,46,36
1544,1930,3,Arenas de Guecho,20,9,2,7,51,40
1545,1930,4,Espanyol,20,9,2,7,40,33
1546,1930,5,Real Madrid,17,7,3,8,45,42
1547,1930,6,Real Unión,17,6,5,7,48,52
1548,1930,7,Real Sociedad,14,5,4,9,34,37
1549,1930,8,Racing de Santander,14,7,0,11,32,58
1550,1930,9,Europa,13,6,1,11,29,44
1551,1930,10,Atlético de Madrid,12,5,2,11,32,50
1552,1929,1,Barcelona,25,11,3,4,37,23
1553,1929,2,Real Madrid,23,11,1,6,40,27
1554,1929,3,Athletic Club,20,8,4,6,43,33
1555,1929,4,Real Sociedad,20,8,4,6,46,41
1556,1929,5,Arenas de Guecho,19,8,3,7,32,39
1557,1929,6,Atlético de Madrid,18,8,2,8,43,41
1558,1929,7,Espanyol,18,7,4,7,32,38
1559,1929,8,Europa,16,6,4,8,45,49
1560,1929,9,Real Unión,12,5,2,11,40,42
1561,1929,10,Racing de Santander,9,3,3,12,25,50
